Start,End,Distance
Depot,Depot,0
Depot,Package1,0
Depot,Package2,0
Depot,Package3,0
Depot,Package4,0
Depot,Package5,0
Package1,Depot,0
Package1,Package1,0
Package1,Package2,12.6226
Package1,Package3,1.28168
Package1,Package4,3.95739
Package1,Package5,1.28168
Package2,Depot,0
Package2,Package1,12.6226
Package2,Package2,0
Package2,Package3,11.4515
Package2,Package4,14.5749
Package2,Package5,11.4515
Package3,Depot,0
Package3,Package1,1.28168
Package3,Package2,11.4515
Package3,Package3,0
Package3,Package4,5.00177
Package3,Package5,0.0464712
Package4,Depot,0
Package4,Package1,3.95739
Package4,Package2,14.5749
Package4,Package3,5.00177
Package4,Package4,0
Package4,Package5,4.99929
Package5,Depot,0
Package5,Package1,1.28168
Package5,Package2,11.4515
Package5,Package3,0.0464712
Package5,Package4,4.99929
Package5,Package5,0
